2015-07-10,-0.0,-0.014,0.0,0.0,0.059,0.144,-0.0,-0.123,0.047,0.0,0.0,0.0,0.0,0.062,0.0,-0.025,0.517,0.0,0.0,-0.146,0.0,0.0,0.0,-0.064,-0.264,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.081,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043,0.0,-0.0,-0.179,0.0,0.074,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.245,0.524,-0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.15,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.085,-0.0,-0.0,-0.079,-0.0,0.197,0.0,0.0,-0.181,0.199,-0.207,0.0,-0.0,0.0,-0.124,-0.054,0.0,0.0,0.0,0.151,0.0,0.0,-0.0,0.0,0.163,0.131,0.0,0.0,0.0,0.0,-0.231,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.141,0.0,0.0,0.0,-0.036,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.067,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.061,0.0,0.0,0.0,0.0,-0.232,0.0,0.0,-0.0,0.741,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.092,-0.073,0.181,-0.14,0.0,0.0,-0.0,0.0,0.0,0.021,0.0,0.0,0.0,-0.127,-0.199,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.135,0.0,-0.198,0.0,-0.209,-0.224,0.131,-0.151,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.287,-0.0,0.0,-0.0,0.087,-0.0,0.225,-0.213,-0.0,-0.0,0.119,-0.0,0.0,0.0,-0.174,0.0,0.0,0.0,0.139,0.0,0.046,-0.0,-0.0,-0.0,-0.0,0.0,-0.217,0.586,0.0,0.0,-0.0,0.448,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.321,270.046
2015-07-13,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.052,-0.171,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.22,-0.0,0.0,-0.0,0.036,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.172,-0.0,0.219,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.124,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.124,0.0,-0.0,-0.0,-0.0,0.025,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.332,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.131,-0.0,-0.0,-0.0,0.0,-0.0,-0.188,-0.0,-0.259,-0.0,-0.082,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.266,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.171,-0.0,-0.0,0.0,0.0,-0.0,0.166,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.01,0.0,0.303,0.0,0.0,-0.0,0.0,0.001,-0.142,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.038,-0.0,0.0,0.0,0.0,-0.273,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.424,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.144,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.111,0.0,-0.224,0.0,-0.213,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.318,-0.0,-0.0,-0.0,0.0,-0.288,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.112,0.0,0.0,0.0,-0.0,0.0,-0.146,-0.0,-0.0,-0.0,-0.0,-0.0,-0.182,0.295,-0.0,0.0,-0.0,0.185,0.0,0.0,0.0,0.0,-0.0,0.172,0.0,0.0,0.0,0.08,269.268
2015-07-14,-0.0,-0.003,0.0,0.0,-0.0,0.0,-0.0,-0.132,-0.0,-0.0,0.0,0.022,0.097,-0.0,-0.0,-0.0,0.0,0.0,-0.013,-0.186,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.107,-0.084,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.068,0.104,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.13,-0.325,0.0,-0.266,-0.038,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.096,0.13,-0.0,0.126,0.0,0.0,-0.259,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.114,0.0,0.0,0.0,-0.243,0.0,-0.117,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.086,0.0,0.204,-0.0,0.397,0.0,0.0,0.0,0.2,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.08,-0.0,-0.0,0.0,0.0,0.0,-0.172,0.0,-0.196,-0.008,-0.041,0.0,-0.115,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.004,-0.0,0.089,-0.082,0.0,-0.0,-0.0,0.0,0.063,0.0,0.024,0.0,0.109,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.151,0.0,-0.0,0.069,-0.035,0.0,0.23,0.0,0.0,0.005,0.0,-0.0,-0.0,-0.0,-0.12,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.188,-0.0,-0.07,0.156,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.253,-0.109,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.3,0.0,0.0,0.0,-0.169,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.109,0.0,0.0,-0.047,0.0,0.0,0.0,-0.0,-0.0,-0.065,-0.048,-0.0,0.0,0.0,-0.017,0.0,0.0,0.0,-0.1,0.0,-0.201,0.0,-0.0,-0.205,-0.0,-0.0,-0.0,-0.113,-0.079,0.0,0.0,-0.0,0.0,0.0,-0.214,-0.236,-0.0,-0.0,-0.0,0.0,-0.22,-0.0,-0.0,0.026,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.091,0.0,-0.0,-0.0,-0.197,0.289,0.0,0.0,-0.258,0.113,0.0,0.0,0.0,0.0,-0.0,0.073,0.0,0.0,0.0,-0.015,266.653
2015-07-15,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.166,0.008,0.0,0.509,0.199,0.07,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.061,-0.0,0.0,-0.037,-0.0,-0.0,-0.0,-0.011,0.0,0.0,-0.038,-0.0,0.205,-0.0,-0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.126,-0.0,0.0,-0.0,0.077,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.044,-0.0,0.0,0.0,0.0,-0.0,0.078,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.06,0.13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.036,-0.0,0.117,0.023,0.295,0.0,0.0,0.0,0.262,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.012,-0.0,-0.128,-0.111,0.0,0.0,0.0,0.0,-0.234,0.0,-0.201,0.0,-0.0,0.0,-0.145,0.11,0.0,0.037,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.118,0.0,0.0,0.0,0.233,0.0,0.0,-0.0,0.114,-0.0,0.069,-0.0,-0.0,0.088,0.172,0.0,0.082,0.0,0.0,0.0,0.0,-0.028,0.0,-0.0,-0.0,-0.0,0.0,0.028,0.0,0.089,-0.0,0.248,0.0,0.0,0.147,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.163,0.0,-0.053,-0.0,0.0,0.0,-0.0,0.187,0.0,0.151,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.02,0.0,0.0,-0.0,0.0,0.0,-0.103,0.131,0.0,0.0,0.0,-0.143,0.0,-0.0,-0.0,-0.11,-0.0,0.016,-0.152,0.0,0.0,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,-0.0,-0.234,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.209,-0.126,0.0,-0.227,0.0,-0.23,-0.201,-0.008,-0.0,-0.046,-0.137,-0.041,0.0,0.0,-0.0,0.0,0.174,-0.0,-0.0,-0.135,0.0,-0.0,0.0,-0.215,0.0,-0.135,0.118,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.058,0.0,0.0,-0.366,-0.0,0.0,-0.0,-0.0,-0.222,0.0,0.092,0.0,-0.0,0.054,0.0,0.0,0.0,0.0,-0.002,0.148,0.0,0.0,0.0,0.0,267.068
2015-07-16,-0.0,-0.0,-0.0,0.0,-0.0,0.015,-0.0,-0.0,-0.0,-0.0,0.256,0.0,0.0,-0.067,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.154,-0.0,0.0,-0.105,-0.133,-0.184,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.057,-0.0,-0.078,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.13,-0.0,-0.0,-0.0,-0.0,0.0,-0.213,-0.021,0.037,-0.018,-0.133,-0.0,-0.0,0.0,-0.0,-0.119,-0.0,-0.0,0.0,-0.0,0.109,-0.314,0.0,0.0,-0.0,-0.221,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.212,-0.088,-0.0,-0.0,-0.269,-0.289,0.03,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.083,0.0,0.0,-0.0,0.0,-0.07,-0.0,-0.0,-0.0,-0.132,-0.0,-0.0,0.108,0.0,0.0,-0.0,-0.134,-0.257,-0.0,-0.0,0.014,-0.0,0.0,0.0,-0.0,-0.031,-0.0,-0.0,-0.0,-0.0,-0.115,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.023,-0.0,0.0,-0.0,-0.0,-0.166,-0.126,-0.0,0.0,-0.0,-0.0,0.022,0.0,0.011,0.0,-0.0,-0.0,-0.0,-0.106,-0.0,0.0,-0.036,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.009,-0.0,-0.0,-0.0,0.0,0.211,-0.148,-0.0,-0.0,-0.148,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.237,-0.101,0.0,-0.0,-0.0,-0.153,0.0,-0.0,-0.05,0.187,-0.0,0.0,0.0,-0.0,0.06,0.0,0.0,0.0,-0.0,0.0,-0.102,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.284,-0.059,0.0,0.0,0.0,-0.117,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.173,-0.092,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.198,-0.169,-0.062,-0.277,0.0,-0.265,-0.0,-0.0,0.021,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.085,-0.017,-0.386,-0.0,0.0,-0.0,-0.0,-0.207,0.16,0.0,0.0,-0.313,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.093,261.335
2015-07-17,-0.0,-0.0,-0.174,-0.121,-0.205,-0.0,-0.0,-0.0,-0.0,-0.208,0.0,-0.085,-0.14,-0.0,-0.184,-0.0,0.643,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.311,-0.0,-0.0,-0.308,-0.3,0.0,-0.238,-0.0,-0.0,-0.328,-0.0,0.0,-0.0,-0.0,-0.185,-0.0,-0.0,-0.231,0.0,0.0,-0.155,-0.177,-0.226,-0.0,-0.0,0.0,-0.0,-0.0,-0.219,-0.216,-0.473,-0.0,-0.0,-0.174,-0.0,-0.0,-0.0,-0.0,-0.0,-0.212,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.092,-0.0,-0.136,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.073,-0.155,0.0,0.0,-0.0,-0.298,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.238,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.164,-0.0,-0.035,0.0,0.0,-0.161,0.173,-0.283,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.355,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.159,-0.0,-0.0,-0.0,-0.272,-0.0,0.0,-0.102,-0.079,0.0,-0.0,-0.0,-0.0,-0.0,-0.177,-0.19,-0.0,-0.0,-0.058,-0.0,-0.0,-0.0,-0.023,-0.15,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.031,-0.0,-0.0,-0.178,-0.0,-0.0,0.0,-0.212,-0.0,-0.0,-0.0,-0.0,-0.0,-0.279,0.0,-0.0,-0.303,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.24,0.0,-0.0,-0.0,-0.277,-0.0,-0.189,-0.0,0.018,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.235,-0.0,-0.0,-0.0,-0.241,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.204,-0.0,0.0,0.05,-0.0,0.0,0.0,-0.008,-0.0,0.0,-0.0,0.0,-0.0,-0.353,-0.0,-0.0,-0.222,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.006,-0.332,-0.317,-0.0,-0.0,-0.0,-0.0,-0.38,-0.0,-0.0,-0.126,-0.0,0.0,0.0,-0.278,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.265,-0.05,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.095,0.0,0.0,0.0,-0.0,249.325
2015-07-20,-0.0,-0.153,-0.0,-0.281,-0.0,-0.219,-0.308,-0.0,-0.285,-0.0,-0.124,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.17,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.301,-0.0,-0.0,0.0,-0.312,-0.0,-0.302,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.318,-0.0,-0.0,-0.0,-0.267,-0.0,-0.0,-0.262,-0.342,-0.315,-0.0,-0.0,-0.32,-0.0,-0.291,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.265,-0.0,-0.0,-0.0,0.0,-0.327,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.311,-0.204,-0.0,0.0,0.0,0.0,0.0,-0.409,-0.0,-0.0,-0.0,-0.456,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.437,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.153,-0.0,-0.0,0.0,-0.0,-0.0,-0.349,-0.4,-0.0,-0.0,-0.0,-0.34,-0.0,-0.526,-0.0,-0.0,-0.273,-0.0,-0.0,-0.0,-0.0,-0.229,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.127,-0.148,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.234,-0.0,-0.247,-0.0,-0.0,-0.0,-0.0,-0.0,-0.284,-0.277,0.0,-0.0,-0.0,-0.0,-0.0,-0.216,-0.0,-0.0,0.0,-0.132,-0.43,-0.0,-0.0,-0.362,-0.0,-0.0,-0.256,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.347,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.266,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.393,-0.285,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.303,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.381,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.334,-0.0,-0.0,-0.353,-0.365,-0.353,-0.0,-0.0,-0.283,-0.435,-0.336,-0.0,-0.0,-0.0,0.0,0.0,-0.377,0.0,0.0,0.0,-0.0,-0.0,-0.235,-0.0,-0.0,-0.0,-0.0,-0.0,-0.324,-0.17,-0.0,0.0,-0.449,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.223,0.0,0.0,0.0,-0.31,230.842
2015-07-21,-0.0,-0.087,-0.0,-0.319,-0.302,-0.235,-0.0,-0.28,-0.34,-0.0,-0.0,-0.0,-0.0,-0.0,-0.118,-0.0,0.456,-0.0,-0.0,-0.0,-0.319,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.296,0.0,-0.322,-0.0,-0.353,-0.409,-0.37,0.0,-0.0,-0.0,-0.279,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.257,-0.0,-0.0,-0.0,0.0,-0.225,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.213,-0.379,-0.0,-0.0,-0.308,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.447,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.349,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.43,-0.0,-0.327,-0.0,-0.0,-0.501,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.425,-0.0,0.169,-0.0,-0.0,-0.413,0.0,-0.0,-0.0,-0.0,-0.0,-0.275,-0.0,-0.0,-0.0,-0.0,-0.241,0.0,-0.0,-0.0,-0.0,-0.412,-0.268,-0.0,-0.0,-0.0,-0.0,-0.526,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.216,-0.0,-0.0,-0.0,0.0,-0.3,-0.0,-0.0,-0.0,-0.0,-0.187,-0.0,-0.334,-0.0,-0.324,-0.294,0.0,-0.0,-0.0,-0.239,-0.0,-0.0,-0.29,-0.0,-0.0,-0.0,-0.476,-0.31,-0.0,-0.0,-0.0,-0.35,-0.0,-0.173,-0.179,-0.0,-0.332,-0.0,0.0,-0.0,0.0,-0.0,-0.254,-0.0,-0.0,-0.182,-0.0,0.0,0.0,-0.21,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.286,-0.0,-0.337,-0.0,-0.0,0.0,-0.298,0.0,0.0,-0.304,0.0,0.0,0.0,-0.0,-0.224,-0.0,-0.358,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.235,0.0,-0.345,0.0,-0.322,-0.0,-0.0,-0.367,-0.421,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.095,-0.0,-0.0,-0.0,-0.0,-0.424,-0.0,-0.461,-0.0,-0.43,-0.0,-0.0,0.0,0.0,-0.364,0.0,0.0,0.0,-0.0,-0.29,-0.243,-0.326,-0.0,-0.0,-0.0,-0.0,-0.28,-0.248,-0.248,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,209.887
2015-07-22,-0.0,-0.0,-0.259,-0.0,-0.261,-0.0,-0.0,-0.228,-0.0,-0.211,-0.0,-0.184,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.283,-0.0,-0.0,-0.347,-0.0,0.0,-0.13,-0.0,-0.219,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.243,-0.357,-0.0,-0.097,0.0,-0.0,-0.0,-0.0,-0.0,-0.443,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.15,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.298,0.0,-0.0,0.0,-0.0,-0.481,-0.0,-0.0,0.0,-0.274,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.298,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.304,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.34,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.32,-0.0,-0.359,-0.232,-0.0,-0.0,-0.235,-0.151,-0.475,-0.042,-0.252,-0.194,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.261,-0.207,0.0,-0.0,-0.0,-0.0,-0.258,-0.0,0.0,-0.0,-0.0,-0.054,-0.0,-0.178,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.353,-0.211,-0.109,-0.0,-0.269,-0.0,-0.0,-0.226,0.0,-0.0,-0.0,-0.0,-0.325,-0.0,-0.0,-0.251,-0.0,-0.0,-0.0,-0.306,-0.13,-0.0,-0.0,-0.0,-0.172,-0.0,-0.0,-0.0,-0.0,-0.336,0.0,-0.0,0.0,-0.0,-0.264,-0.269,-0.0,-0.0,-0.0,0.0,0.0,-0.154,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.314,-0.0,-0.0,-0.0,-0.0,-0.224,-0.167,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.37,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.003,-0.188,0.0,-0.0,0.0,-0.0,-0.285,-0.288,-0.0,-0.35,-0.0,-0.337,0.0,-0.0,-0.218,-0.0,-0.148,-0.0,-0.0,-0.326,-0.345,-0.351,-0.0,-0.389,-0.0,-0.0,-0.233,-0.0,0.0,0.0,-0.356,0.0,0.0,0.0,-0.273,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.228,-0.217,-0.188,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,192.094
2015-07-23,-0.0,-0.104,-0.0,-0.0,-0.242,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.011,-0.099,0.0,-0.0,-0.0,-0.285,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.262,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.222,-0.0,-0.297,-0.0,-0.0,0.0,-0.0,-0.0,-0.296,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.102,-0.219,-0.0,-0.0,0.0,-0.183,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.059,0.0,-0.241,-0.137,-0.138,0.0,0.0,-0.098,-0.283,0.0,0.0,0.0,-0.0,-0.273,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.229,-0.0,-0.457,-0.0,0.0,-0.0,-0.27,-0.28,-0.214,0.0,-0.0,-0.0,0.035,-0.0,-0.0,-0.0,0.0,-0.0,-0.132,-0.0,-0.0,-0.0,-0.219,-0.0,-0.0,-0.248,-0.0,0.0,-0.0,-0.0,-0.426,-0.354,-0.0,-0.0,-0.0,-0.0,-0.0,-0.427,-0.0,-0.229,-0.0,-0.0,-0.259,-0.23,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.195,-0.0,-0.0,-0.309,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.011,-0.037,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.232,-0.0,-0.212,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.235,-0.0,-0.0,-0.039,-0.0,-0.0,-0.0,-0.429,-0.0,-0.0,-0.0,-0.0,-0.129,-0.0,-0.261,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.36,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.284,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.161,-0.139,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.186,0.0,-0.0,0.0,-0.0,-0.28,-0.0,-0.0,-0.295,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.279,-0.0,-0.0,-0.0,-0.338,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.331,0.0,0.0,0.0,-0.241,-0.227,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.231,-0.151,-0.0,0.0,-0.324,-0.367,0.0,0.0,0.0,0.0,-0.104,-0.0,0.0,0.0,0.0,-0.0,178.24
