2017-06-02,0.022,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.172,-0.0,0.0,-0.024,0.113,0.0,0.069,0.013,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,-0.0,0.0,-0.0,0.0,-0.007,0.0,0.148,0.0,0.0,0.0,0.0,0.0,-0.0,0.116,0.0,0.0,0.0,0.0,0.0,-0.0,0.117,0.0,-0.0,0.098,0.0,-0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.106,0.0,0.053,0.0,0.0,0.0,0.027,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.088,-0.024,0.0,0.0,0.088,0.0,0.093,0.0,0.061,0.0,0.037,0.0,0.029,0.0,-0.0,-0.0,-0.0,0.161,-0.003,0.0,-0.1,0.0,0.0,0.056,0.088,-0.0,0.0,-0.02,-0.0,-0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.036,-0.024,0.0,0.0,0.027,0.114,0.076,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.111,-0.0,0.011,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.127,0.0,0.14,-0.0,0.071,0.0,0.0,-0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.219,-0.013,0.062,0.18,-0.027,0.064,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.17,-0.0,0.13,0.326,-0.017,0.097,0.006,0.0,0.0,0.0,-0.0,-0.0,0.003,0.0,0.098,0.0,-0.011,0.0,0.0,-0.018,0.001,0.0,-0.081,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.249,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.057,4.899,0.0,-0.0,-0.0,0.0,0.0,0.0,0.145,0.0,0.0,-0.026,0.094,-0.008,-0.0,0.0,0.0,-0.018,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.049,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,387.882
2017-06-05,0.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.0,-0.0,0.021,0.189,0.0,0.0,0.0,0.028,0.0,0.0,0.0,-0.0,0.205,0.0,0.0,0.0,-0.009,0.0,-0.0,0.138,0.007,0.064,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.009,0.0,0.0,0.0,-0.0,0.141,-0.0,0.056,-0.0,0.0,0.0,0.0,-0.0,0.078,0.089,0.125,-0.0,0.115,0.0,0.022,0.409,0.174,0.0,-0.0,0.0,0.107,0.0,0.0,0.0,-0.042,0.0,0.076,0.102,0.0,0.156,0.234,0.339,0.035,0.0,0.0,-0.0,-0.022,0.0,0.0,0.0,0.094,-0.0,0.0,0.044,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.068,0.0,0.0,-0.0,-0.0,0.0,0.052,0.0,0.0,0.102,0.0,-0.025,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.054,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.083,0.0,-0.0,0.0,0.0,0.0,0.0,0.013,0.258,0.0,-0.0,-0.075,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.509,0.026,0.0,0.0,0.002,0.0,0.0,-0.0,0.0,0.183,-0.031,0.0,0.0,-0.005,0.032,0.0,-0.001,0.015,-0.0,0.016,0.0,0.0,0.164,0.0,0.0,0.0,-0.0,0.0,0.0,0.095,0.0,0.0,-0.036,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.0,0.0,0.0,-0.044,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.005,0.052,0.125,0.0,0.338,0.019,0.036,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026,0.018,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.106,-0.0,0.003,0.0,0.0,-0.0,-0.0,0.0,-0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.068,0.0,0.0,-0.0,0.0,0.0,0.0,-0.06,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.512,0.0,-0.002,-0.0,0.0,394.196
2017-06-06,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.096,0.0,-0.022,0.0,0.232,0.093,0.034,0.0,0.015,0.0,0.009,0.0,-0.0,0.0,0.0,0.0,0.121,-0.0,0.0,-0.0,0.0,0.0,0.075,0.0,0.0,0.0,-0.0,0.161,0.068,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.075,0.008,0.0,0.0,0.005,0.0,0.0,0.106,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.035,0.0,0.0,0.0,0.0,0.0,0.362,0.391,0.0,0.0,0.0,-0.0,0.0,0.081,0.0,0.0,0.079,0.0,0.0,0.0,0.155,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.06,0.0,0.0,0.0,-0.0,0.0,0.0,0.057,0.0,0.021,0.0,-0.0,0.139,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,-0.023,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.143,0.096,0.0,0.0,-0.032,0.052,0.0,-0.021,0.0,0.0,0.133,0.0,-0.006,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.01,-0.0,0.0,0.029,-0.0,0.0,-0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.082,0.0,-0.0,-0.0,0.0,-0.017,0.0,0.0,0.102,0.0,0.197,-0.0,0.011,0.0,0.0,0.0,-0.0,0.0,0.0,-0.033,0.0,0.0,0.0,-0.0,0.0,0.058,0.0,0.0,0.0,0.006,0.028,0.0,0.02,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.03,0.0,0.034,0.0,0.0,0.0,0.0,0.0,-0.007,0.0,-0.021,-0.003,0.024,0.141,-0.002,-0.0,0.0,-0.027,-0.0,0.0,0.0,0.0,0.048,0.0,0.012,-0.0,0.109,0.0,0.0,0.0,0.0,-0.0,0.015,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.005,0.0,0.0,397.794
2017-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,-0.0,-0.009,0.0,0.067,0.0,0.135,0.005,0.0,-0.0,-0.036,0.026,0.203,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.009,0.028,0.006,0.0,0.022,-0.0,0.0,0.037,0.0,0.033,0.146,0.0,-0.025,0.0,-0.0,0.0,-0.0,0.114,0.0,0.0,-0.0,-0.0,0.104,0.0,-0.014,0.05,0.07,0.0,-0.0,0.093,0.0,0.009,0.0,0.0,-0.0,-0.0,0.076,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.005,0.0,0.0,0.308,0.0,-0.0,-0.0,0.0,-0.083,-0.086,0.0,-0.0,0.217,0.0,-0.0,0.0,0.0,0.0,0.0,-0.135,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.066,0.043,-0.079,-0.022,-0.034,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.099,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.047,-0.0,0.0,-0.0,0.025,0.0,0.052,0.0,0.038,0.0,-0.112,-0.0,0.056,0.0,-0.0,0.04,-0.02,0.035,0.019,0.0,-0.0,-0.0,-0.076,0.0,0.022,0.0,0.0,0.106,0.0,0.107,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.011,0.03,-0.0,-0.0,-0.027,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.001,0.043,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.047,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.073,0.0,-0.0,0.0,0.0,0.028,-0.0,0.0,0.0,0.243,0.0,0.382,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.03,-0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.101,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.005,0.0,-0.067,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.003,-0.0,-0.0,0.0,400.648
2017-06-08,0.0,0.186,0.0,0.052,0.0,0.0,0.0,0.067,0.0,-0.0,-0.0,0.131,0.0,-0.0,0.0,-0.039,0.0,-0.0,-0.0,0.014,0.0,0.0,0.062,0.146,-0.0,0.06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.0,0.0,0.043,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,-0.067,0.0,0.0,0.0,0.0,0.107,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.07,0.258,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.008,0.0,0.0,-0.0,0.0,0.069,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,-0.0,-0.0,-0.033,-0.027,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.05,0.0,-0.113,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046,0.0,-0.0,0.0,0.0,0.0,0.016,-0.0,0.0,-0.114,-0.0,0.0,0.003,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.037,-0.0,-0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.072,-0.04,0.0,0.084,-0.0,0.0,-0.011,0.0,0.0,-0.003,0.0,-0.0,-0.0,-0.0,0.028,-0.0,0.063,0.043,-0.056,0.0,-0.0,0.0,0.037,0.0,-0.0,-0.0,0.003,0.0,0.0,0.0,0.066,0.0,0.012,0.0,-0.0,0.0,0.008,0.0,0.0,0.039,-0.0,-0.0,0.0,-0.0,0.0,0.023,0.0,0.0,0.0,-0.023,-0.01,0.0,0.0,0.0,-0.101,0.0,0.0,-0.02,0.0,0.0,0.0,0.004,0.013,0.07,0.0,0.031,0.296,-0.0,0.014,-0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,-0.027,-0.0,0.0,0.0,0.0,0.0,0.059,0.0,-0.0,0.0,0.005,0.0,0.056,0.0,0.0,-0.0,0.033,-0.0,0.013,0.0,0.0,0.0,0.027,0.0,0.015,-0.0,0.088,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.078,0.0,0.025,0.0,0.0,-0.066,0.0,-0.063,-0.0,-0.0,0.0,402.159
2017-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.164,0.056,-0.0,0.096,-0.0,0.0,-0.024,-0.0,-0.0,0.24,0.0,0.0,0.132,-0.0,0.0,-0.024,0.0,0.0,-0.027,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,-0.0,-0.041,0.0,0.072,-0.0,0.147,-0.0,0.0,-0.167,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.052,0.0,-0.0,0.0,0.0,-0.0,-0.01,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.036,0.0,-0.0,-0.0,-0.0,-0.0,0.223,0.045,-0.077,0.0,0.0,0.132,0.0,-0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.092,-0.0,-0.028,0.0,-0.0,-0.091,-0.002,-0.005,0.0,-0.043,0.0,-0.11,0.046,0.0,0.0,0.0,-0.047,0.0,-0.052,-0.0,-0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.001,0.0,0.023,-0.0,0.0,-0.032,0.011,0.0,0.0,-0.0,0.019,0.0,-0.0,-0.08,0.0,-0.0,-0.017,0.014,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.08,0.0,0.019,0.0,0.045,0.07,0.0,0.135,0.015,-0.054,-0.0,0.014,0.0,-0.0,0.0,0.0,0.05,0.0,-0.018,-0.0,-0.043,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.058,0.0,-0.0,0.041,0.0,0.026,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.066,0.0,-0.0,0.211,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.142,-0.026,0.0,0.0,0.0,0.0,-0.119,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,-0.034,0.0,0.0,0.0,0.0,-0.013,0.029,4.722,0.0,-0.0,-0.0,0.024,0.0,0.136,0.075,0.018,-0.0,-0.0,0.0,-0.008,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.007,0.042,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,408.033
2017-06-12,0.196,0.0,0.0,0.0,0.0,0.041,0.0,0.038,0.159,-0.0,0.0,0.118,0.0,-0.0,0.0,-0.053,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.097,0.092,-0.0,0.0,0.005,0.238,0.0,-0.012,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.173,0.114,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.014,-0.0,-0.033,0.0,0.063,-0.0,0.021,0.0,0.0,-0.079,0.0,0.0,-0.0,0.0,0.0,-0.049,-0.0,0.069,0.0,-0.0,0.108,0.0,-0.0,-0.0,-0.03,-0.02,0.0,0.0,0.324,0.0,-0.0,0.0,0.0,-0.0,-0.111,-0.0,-0.0,0.0,0.02,-0.0,0.0,0.108,0.153,0.0,-0.0,0.121,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.083,-0.0,-0.0,-0.0,-0.0,0.0,0.014,0.0,0.0,-0.0,-0.023,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,-0.0,0.0,-0.0,0.027,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.061,0.007,-0.001,0.167,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.054,-0.0,-0.085,0.176,0.0,0.127,0.0,0.0,0.14,0.0,0.0,-0.057,-0.01,0.0,0.108,-0.012,0.122,0.0,0.0,0.0,-0.035,0.0,-0.0,0.0,-0.015,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.084,0.0,0.0,-0.0,-0.066,-0.091,-0.0,0.029,0.0,-0.0,0.0,0.0,-0.0,0.0,0.025,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.088,-0.054,0.0,0.0,0.0,0.0,0.0,-0.011,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,-0.0,0.063,-0.0,-0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.053,0.0,0.02,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.033,0.044,0.0,0.0,-0.0,0.0,0.092,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.083,0.0,0.0,-0.113,0.0,-0.075,-0.0,0.039,0.0,410.863
2017-06-13,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.0,-0.0,0.074,0.0,-0.0,0.113,-0.0,0.0,-0.034,-0.0,-0.014,0.0,0.0,0.0,0.1,-0.0,0.001,-0.0,0.0,0.025,0.002,0.0,0.0,0.0,0.0,-0.015,-0.039,0.0,-0.0,0.155,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.153,-0.0,0.006,-0.172,-0.0,0.053,0.0,-0.0,0.0,0.0,0.0,-0.0,0.09,0.104,-0.0,0.0,0.0,-0.034,-0.0,0.0,0.0,-0.0,0.091,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.088,0.229,0.277,0.0,0.071,0.0,-0.0,-0.0,-0.0,-0.024,0.191,0.0,-0.14,0.0,0.0,0.122,0.0,-0.117,0.0,0.0,0.0,0.0,0.0,0.031,0.0,-0.087,0.0,-0.011,-0.0,-0.118,-0.0,-0.0,0.0,0.0,0.059,-0.0,-0.0,-0.0,0.06,-0.0,-0.0,-0.0,0.0,0.0,-0.026,0.0,-0.112,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.028,-0.0,0.058,0.097,0.0,0.0,0.124,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.006,0.0,0.0,0.055,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.132,-0.0,-0.0,-0.068,0.169,0.043,0.0,0.0,0.0,0.151,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.035,0.017,-0.0,0.0,-0.024,-0.0,-0.0,0.0,0.04,-0.0,0.0,-0.0,0.0,0.006,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.029,0.0,-0.0,0.0,0.027,0.024,0.0,0.017,0.13,0.01,0.011,-0.024,0.081,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.022,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.055,0.0,0.169,0.0,0.0,0.0,0.0,-0.0,0.025,0.012,0.0,0.169,0.0,0.0,0.073,-0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.073,0.0,0.0,0.0,0.008,-0.0,0.0,0.0,-0.0,0.012,0.0,-0.089,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,413.974
2017-06-14,0.0,0.152,0.0,-0.017,0.0,0.039,-0.0,0.0,0.0,0.0,-0.0,-0.024,0.019,-0.061,0.0,-0.0,-0.0,-0.0,-0.0,0.004,0.359,0.0,0.0,0.127,-0.0,-0.029,-0.0,0.231,-0.0,0.0,0.02,-0.0,0.0,0.0,-0.0,-0.041,0.014,-0.05,0.0,0.0,-0.085,-0.0,-0.0,0.0,-0.0,0.153,-0.0,-0.0,-0.0,-0.005,0.029,0.0,-0.083,-0.0,0.02,0.0,-0.0,0.0,0.076,-0.0,0.0,0.179,-0.0,-0.0,0.0,0.0,-0.0,-0.014,0.088,-0.0,-0.0,-0.026,0.0,-0.0,0.0,0.24,0.0,-0.0,0.0,0.064,-0.025,-0.133,-0.0,-0.0,0.108,-0.024,-0.0,0.0,0.024,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.028,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.074,0.0,-0.0,-0.0,-0.0,0.104,0.077,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.05,0.0,-0.0,0.0,-0.0,0.04,0.0,0.0,-0.033,0.0,0.0,0.0,-0.009,0.0,-0.004,-0.0,0.0,0.003,-0.0,0.0,-0.0,-0.038,0.0,0.0,-0.0,-0.0,0.129,-0.0,-0.0,0.0,-0.006,-0.05,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.012,0.0,-0.0,0.0,0.0,0.0,0.817,-0.051,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.045,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.168,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.078,0.103,-0.008,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.195,0.0,0.02,0.0,0.0,-0.043,0.044,0.0,0.0,0.0,0.0,-0.0,0.0,-0.062,0.0,0.0,0.0,0.0,-0.016,0.0,-0.0,-0.023,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.148,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.144,-0.097,-0.0,-0.056,0.0,416.518
2017-06-15,0.0,0.202,0.0,0.0,0.0,0.0,-0.011,0.033,0.177,0.032,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.064,0.031,0.0,0.0,0.0,0.101,-0.0,-0.0,0.0,0.0,-0.0,0.013,-0.0,-0.0,0.011,-0.0,-0.021,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.038,-0.0,0.0,-0.215,0.0,-0.015,-0.0,-0.0,-0.0,-0.0,0.062,-0.0,0.0,-0.0,0.193,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.001,0.02,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.038,0.06,0.24,0.239,-0.002,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.042,-0.0,0.0,0.0,0.0,0.0,-0.108,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.029,-0.0,-0.0,-0.121,-0.0,-0.0,0.0,0.0,-0.002,-0.1,-0.0,-0.0,0.0,-0.0,-0.043,-0.161,0.095,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.065,0.0,-0.0,0.0,0.0,0.172,-0.0,0.0,0.0,0.063,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.066,0.047,-0.013,0.0,0.0,-0.0,-0.095,0.0,-0.006,-0.0,-0.0,-0.0,0.076,-0.0,0.173,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.092,-0.005,-0.0,-0.034,0.0,0.0,-0.074,0.0,0.036,-0.0,0.0,-0.025,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.113,-0.011,-0.0,-0.0,-0.0,0.027,0.007,-0.0,0.0,-0.0,-0.073,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.027,0.0,0.037,0.0,0.0,0.0,-0.13,0.0,0.0,0.113,0.0,0.0,0.0,-0.007,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.133,0.012,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.076,-0.0,0.093,0.0,0.0,0.129,0.0,-0.0,0.097,-0.0,0.0,0.0,0.0,0.054,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.031,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.053,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.15,-0.0,-0.104,-0.0,0.431,418.684
